Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
http://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,324,4.2 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.0 out of 5 stars,,,,,
http://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,5.0 out of 5 stars,,"DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.    DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.",,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",
http://www.amazon.in/Blue-Tree-Backpack-Cartoon-Toddler/dp/B097NJV1WY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.6 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_4-Gym/dp/B084DPRRRR?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,549,4.2 out of 5 stars,,"Made of 100% polyester water repellant fabric    Completed 19 product tests for quality and performance    High-quality zipper tested for 500 cycles    Spacious duffel bag for gym essentials, clothes, water bottle etc...    Separate shoe compartment to keep your workout shoes    Handy key compartment for quick access    Equipped with a shoulder strap and haul handles for easy carrying    
   Ideal for teenagers and adults for gym activities, weekend getaways and light travels Package Contents:- 1 Polyester Duffel Gym Bag; Dimensions: 42 x 23.7 x 25.5 cms; Colour: Black   Show More",,"From workout gear, fitness accessories and gym essentials, you have place for everything with the Solimo Polyester Duffel Gym Bag. This exercise companion is made of 100% polyester fabric that is water repellant. With a high-quality zipper performing 500 test cycles and a total of 19 individual product tests, this duffel gym bag is quality built. You have place for your gym towel, spare set of clothes, shoes, water bottle, protein shaker as well gym bands, grips and accessories. The Solimo Polyester Duffel Gym Bag is spaciously designed and comes in a stylish red colour. With a shoulder strap and haul handles you can decide on a convenient carrying option. A separate shoe compartment keeps your gym shoes away from other items in your bag. When your hands are full, a key compartment comes handy for easy access. This duffel gym bag is ideal for teenagers and adults, and is suited for gym and exercise activities, weekend getaways and light travels.",
,,,,,"Made of 100% polyester water repellant fabric    Completed 19 product tests for quality and performance    High-quality zipper tested for 500 cycles    Spacious duffel bag for gym essentials, clothes, water bottle etc...    Separate shoe compartment to keep your workout shoes    Handy key compartment for quick access    Equipped with a shoulder strap and haul handles for easy carrying    
   Ideal for teenagers and adults for gym activities, weekend getaways and light travels Package Contents:- 1 Polyester Duffel Gym Bag; Dimensions: 42 x 23.7 x 25.5 cms; Colour: Black   Show More",,"From workout gear, fitness accessories and gym essentials, you have place for everything with the Solimo Polyester Duffel Gym Bag. This exercise companion is made of 100% polyester fabric that is water repellant. With a high-quality zipper performing 500 test cycles and a total of 19 individual product tests, this duffel gym bag is quality built. You have place for your gym towel, spare set of clothes, shoes, water bottle, protein shaker as well gym bands, grips and accessories. The Solimo Polyester Duffel Gym Bag is spaciously designed and comes in a stylish red colour. With a shoulder strap and haul handles you can decide on a convenient carrying option. A separate shoe compartment keeps your gym shoes away from other items in your bag. When your hands are full, a key compartment comes handy for easy access. This duffel gym bag is ideal for teenagers and adults, and is suited for gym and exercise activities, weekend getaways and light travels.",
http://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_3_1375464031_1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,,,,,
http://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9 out of 5 stars,,,,,
